Active ingredients,Dosage Form,Route,Strength,Brand name,Applicant Holder,Approval Date,group_key,strength_normalized,dosage_range,frequency,population,group_id
NAPROXEN SODIUM,TABLET,ORAL,EQ 250MG BASE,NAPROXEN SODIUM,WATSON LABORATORIES INC,"Dec 21, 1993",NAPROXEN SODIUM||EQ 250MG BASE||TABLET||ORAL,eq 250 mg BASE,adult/adolescent >=12: 220-550 mg per dose,q8-12h PRN,adult/adolescent >=12,97
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,SUN PHARMACEUTICAL INDUSTRIES INC,"Jun 19, 2002",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult,105
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,100MG,TRAMADOL HYDROCHLORIDE,MACLEODS PHARMACEUTICALS LTD,"Jan 31, 2025","TRAMADOL HYDROCHLORIDE||100MG||TABLET, EXTENDED RELEASE||ORAL",100 mg,adult: 100-300 mg daily,daily,adult,101
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,300MG,TRAMADOL HYDROCHLORIDE,SUN PHARMACEUTICAL INDUSTRIES LTD,"Dec 7, 2011","TRAMADOL HYDROCHLORIDE||300MG||TABLET, EXTENDED RELEASE||ORAL",300 mg,adult: 100-300 mg daily,daily,adult,104
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,200MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,RYZOLT,PURDUE PHARMA PRODUCTS LP,"Dec 30, 2008","TRAMADOL HYDROCHLORIDE||200MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET, EXTENDED RELEASE||ORAL",200 mg,adult: 100-300 mg daily,daily,adult,103
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,RUBICON RESEARCH LTD,"Jun 28, 2019",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult,105
ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,TABLET,ORAL,325MG; 37.5MG,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,CHARTWELL RX SCIENCES LLC,"Apr 21, 2005",ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE||325MG; 37.5MG||TABLET||ORAL,325 mg; 37.5 mg,adult: 2 tablets per dose; max 8 tablets/day,q4-6h PRN,adult,3
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,100MG,TRAMADOL HYDROCHLORIDE,GRAVITI PHARMACEUTICALS PRIVATE LTD,"Aug 2, 2024",TRAMADOL HYDROCHLORIDE||100MG||TABLET||ORAL,100 mg,adult: 50-100 mg per dose,q4-6h PRN,adult,100
TRAMADOL HYDROCHLORIDE,"TABLET, ORALLY DISINTEGRATING",ORAL,50MG,RYBIX ODT,SHIONOGI INC,"May 5, 2005","TRAMADOL HYDROCHLORIDE||50MG||TABLET, ORALLY DISINTEGRATING||ORAL",50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult,106
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,75MG,TRAMADOL HYDROCHLORIDE,RUBICON RESEARCH LTD,"Apr 4, 2024",TRAMADOL HYDROCHLORIDE||75MG||TABLET||ORAL,75 mg,adult: 50-100 mg per dose,q4-6h PRN,adult,107
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,200MG,TRAMADOL HYDROCHLORIDE,LUPIN LTD,"Aug 29, 2011","TRAMADOL HYDROCHLORIDE||200MG||TABLET, EXTENDED RELEASE||ORAL",200 mg,adult: 100-300 mg daily,daily,adult,102
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,UNICHEM LABORATORIES LTD,"Aug 9, 2019",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult,105
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,IPCA LABORATORIES LTD,"Nov 16, 2012",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult,105
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,SENORES PHARMACEUTICALS INC,"Jan 31, 2011",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult,105
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,200MG,TRAMADOL HYDROCHLORIDE,MYLAN PHARMACEUTICALS INC,"Dec 22, 2015","TRAMADOL HYDROCHLORIDE||200MG||TABLET, EXTENDED RELEASE||ORAL",200 mg,adult: 100-300 mg daily,daily,adult,102
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,100MG,TRAMADOL HYDROCHLORIDE,MACLEODS PHARMACEUTICALS LTD,"Jan 31, 2025","TRAMADOL HYDROCHLORIDE||100MG||TABLET, EXTENDED RELEASE||ORAL",100 mg,adult: 100-300 mg daily,daily,adult,101
ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,TABLET,ORAL,325MG; 37.5MG,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,MACLEODS PHARMACEUTICALS LTD,"May 2, 2017",ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE||325MG; 37.5MG||TABLET||ORAL,325 mg; 37.5 mg,adult: 2 tablets per dose; max 8 tablets/day,q4-6h PRN,adult,3
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,PLIVA INC,"Jul 1, 2002",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult,105
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,SUN PHARMACEUTICAL INDUSTRIES INC,"Jun 20, 2002",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult,105
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,300MG,TRAMADOL HYDROCHLORIDE,STRIDES PHARMA INTERNATIONAL AG,"Sep 20, 2011","TRAMADOL HYDROCHLORIDE||300MG||TABLET, EXTENDED RELEASE||ORAL",300 mg,adult: 100-300 mg daily,daily,adult,104
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,STRIDES PHARMA GLOBAL PTE LTD,"Nov 28, 2011",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult,105
GUAIFENESIN; HYDROCODONE BITARTRATE,SOLUTION,ORAL,200MG/5ML; 2.5MG/5ML,FLOWTUSS,CHARTWELL RX SCIENCES LLC,"May 14, 2015",GUAIFENESIN; HYDROCODONE BITARTRATE||200MG/5ML; 2.5MG/5ML||SOLUTION||ORAL,200 mg/5 mL; 2.5 mg/5 mL,adult: 5 mL per dose,q4-6h PRN,adult,62
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,SUN PHARMACEUTICAL INDUSTRIES LTD,"Jul 1, 2021","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||60MG; 1.2GM||TABLET, EXTENDED RELEASE||ORAL",60 mg; 1.2 g,adult/adolescent >=12: 1-2 ER tablets per dose,q12h,adult/adolescent >=12,45
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,PERRIGO R AND D CO,"Mar 5, 2018","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||30MG; 600MG||TABLET, EXTENDED RELEASE||ORAL",30 mg; 600 mg,adult/adolescent >=12: 1-2 ER tablets per dose,q12h,adult/adolescent >=12,44
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,GRANULES INDIA LTD,"May 8, 2020","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL",1.2 g,adult/adolescent >=12: 600-1200 mg per dose,q12h,adult/adolescent >=12,60
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,1.2GM; 120MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,"May 27, 2015","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE||1.2GM; 120MG||TABLET, EXTENDED RELEASE||ORAL",1.2 g; 120 mg,adult/adolescent >=12: 1 ER tablet per dose,q12h,adult/adolescent >=12,63
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,AUROBINDO PHARMA LTD,"Mar 17, 2017","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||60MG; 1.2GM||TABLET, EXTENDED RELEASE||ORAL",60 mg; 1.2 g,adult/adolescent >=12: 1-2 ER tablets per dose,q12h,adult/adolescent >=12,45
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,OHM LABORATORIES INC,"Jul 16, 2018","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL",1.2 g,adult/adolescent >=12: 600-1200 mg per dose,q12h,adult/adolescent >=12,60
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,MUCINEX,RB HEALTH US LLC,"Dec 18, 2002","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL",1.2 g,adult/adolescent >=12: 600-1200 mg per dose,q12h,adult/adolescent >=12,60
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,1.2GM; 120MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,AUROBINDO PHARMA LTD,"Mar 25, 2020","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE||1.2GM; 120MG||TABLET, EXTENDED RELEASE||ORAL",1.2 g; 120 mg,adult/adolescent >=12: 1 ER tablet per dose,q12h,adult/adolescent >=12,63
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,AUROBINDO PHARMA LTD,"Mar 17, 2017","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||60MG; 1.2GM||TABLET, EXTENDED RELEASE||ORAL",60 mg; 1.2 g,adult/adolescent >=12: 1-2 ER tablets per dose,q12h,adult/adolescent >=12,45
GUAIFENESIN; HYDROCODONE BITARTRATE,SOLUTION,ORAL,200MG/5ML; 2.5MG/5ML,OBREDON,SOVEREIGN PHARMACEUTICALS LLC,"Nov 14, 2014",GUAIFENESIN; HYDROCODONE BITARTRATE||200MG/5ML; 2.5MG/5ML||SOLUTION||ORAL,200 mg/5 mL; 2.5 mg/5 mL,adult: 5 mL per dose,q4-6h PRN,adult,62
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,1.2GM; 120MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,SUN PHARMACEUTICAL INDUSTRIES INC,"Apr 28, 2020","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE||1.2GM; 120MG||TABLET, EXTENDED RELEASE||ORAL",1.2 g; 120 mg,adult/adolescent >=12: 1 ER tablet per dose,q12h,adult/adolescent >=12,63
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,"Aug 31, 2015","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||30MG; 600MG||TABLET, EXTENDED RELEASE||ORAL",30 mg; 600 mg,adult/adolescent >=12: 1-2 ER tablets per dose,q12h,adult/adolescent >=12,44
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,"Jul 11, 2018","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL",1.2 g,adult/adolescent >=12: 600-1200 mg per dose,q12h,adult/adolescent >=12,60
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,600MG,GUAIFENESIN,GRANULES INDIA LTD,"May 8, 2020","GUAIFENESIN||600MG||TABLET, EXTENDED RELEASE||ORAL",600 mg,adult/adolescent >=12: 600-1200 mg per dose,q12h,adult/adolescent >=12,61
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,SUN PHARMACEUTICAL INDUSTRIES LTD,"Jul 1, 2021","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||60MG; 1.2GM||TABLET, EXTENDED RELEASE||ORAL",60 mg; 1.2 g,adult/adolescent >=12: 1-2 ER tablets per dose,q12h,adult/adolescent >=12,45
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,MUCINEX DM,RB HEALTH US LLC,"Apr 29, 2004","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||60MG; 1.2GM||TABLET, EXTENDED RELEASE||ORAL",60 mg; 1.2 g,adult/adolescent >=12: 1-2 ER tablets per dose,q12h,adult/adolescent >=12,45
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,AUROBINDO PHARMA LTD,"Oct 21, 2019","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL",1.2 g,adult/adolescent >=12: 600-1200 mg per dose,q12h,adult/adolescent >=12,60
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,"Nov 1, 2018","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||30MG; 600MG||TABLET, EXTENDED RELEASE||ORAL",30 mg; 600 mg,adult/adolescent >=12: 1-2 ER tablets per dose,q12h,adult/adolescent >=12,44
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,600MG; 60MG,MUCINEX D,RB HEALTH US LLC,"Jun 22, 2004","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE||600MG; 60MG||TABLET, EXTENDED RELEASE||ORAL",600 mg; 60 mg,adult/adolescent >=12: 1 ER tablet per dose,q12h,adult/adolescent >=12,64
